"Well","Sample","Target","Concentration","CopiesPer20uLWell","AcceptedDroplets","Positives","Negatives","sample_characters","control_check","sample_name_check15","accepted_droplet_limit2","accepted_droplet_count2","ntc_control_check3","pos_control_check4","pos_control_breakdown","negvalue_control_check55","ext_neg_control_check6","sample_wells_positives7","sample_wells_negatives75","sample_pos_limit_flag9","plate_name"
"A01","23MM260312I","FLUA",0,0,17275,0,17275,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A01","23MM260312I","FLUB",0.072816096,1.456321955,17275,1,17274,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A01","23MM260312I","RSV",0,0,17275,0,17275,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A01","23MM260312I","SC2",0.509801209,10.19602394,17275,7,17268,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A02","23MM260314I","FLUA",0,0,17128,0,17128,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A02","23MM260314I","FLUB",0,0,17128,0,17128,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A02","23MM260314I","RSV",0.073441051,1.468821049,17128,1,17127,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A02","23MM260314I","SC2",0.073441051,1.468821049,17128,1,17127,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A03","23MM260315I","FLUA",0.075983062,1.519661188,16555,1,16554,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A03","23MM260315I","FLUB",0,0,16555,0,16555,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A03","23MM260315I","RSV",0.151970714,3.039414406,16555,2,16553,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A03","23MM260315I","SC2",0.075983062,1.519661188,16555,1,16554,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A04","26JJ260322I","FLUA",0,0,17357,0,17357,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A04","26JJ260322I","FLUB",0,0,17357,0,17357,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A04","26JJ260322I","RSV",0,0,17357,0,17357,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A04","26JJ260322I","SC2",0.072472081,1.449441671,17357,1,17356,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A05","26LL260318I","FLUA",0,0,15949,0,15949,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A05","26LL260318I","FLUB",0,0,15949,0,15949,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A05","26LL260318I","RSV",0.236625493,4.732509613,15949,3,15946,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A05","26LL260318I","SC2",0.47329548,9.465909958,15949,6,15943,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A06","26LL260323I","FLUA",0.071925074,1.438501477,17489,1,17488,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A06","26LL260323I","FLUB",0.071925074,1.438501477,17489,1,17488,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A06","26LL260323I","RSV",0,0,17489,0,17489,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"A06","26LL260323I","SC2",0.071925074,1.438501477,17489,1,17488,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B01","23MM260312I","FLUA",0,0,17373,0,17373,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B01","23MM260312I","FLUB",0.072405331,1.448106647,17373,1,17372,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B01","23MM260312I","RSV",0.072405331,1.448106647,17373,1,17372,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B01","23MM260312I","SC2",0.362068325,7.241366386,17373,5,17368,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B02","23MM260314I","FLUA",0,0,17060,0,17060,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B02","23MM260314I","FLUB",0,0,17060,0,17060,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B02","23MM260314I","RSV",0,0,17060,0,17060,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B02","23MM260314I","SC2",0,0,17060,0,17060,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B03","23MM260315I","FLUA",0,0,17900,0,17900,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B03","23MM260315I","FLUB",0,0,17900,0,17900,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B03","23MM260315I","RSV",0.070273563,1.405471325,17900,1,17899,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B03","23MM260315I","SC2",0.070273563,1.405471325,17900,1,17899,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B04","26JJ260322I","FLUA",0,0,17185,0,17185,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B04","26JJ260322I","FLUB",0,0,17185,0,17185,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B04","26JJ260322I","RSV",0.14639917,2.927983284,17185,2,17183,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B04","26JJ260322I","SC2",0,0,17185,0,17185,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B05","26LL260318I","FLUA",0,0,16920,0,16920,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B05","26LL260318I","FLUB",0,0,16920,0,16920,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B05","26LL260318I","RSV",0.520499587,10.40999222,16920,7,16913,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B05","26LL260318I","SC2",0.371763468,7.435269356,16920,5,16915,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B06","26LL260323I","FLUA",0,0,17216,0,17216,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B06","26LL260323I","FLUB",0,0,17216,0,17216,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B06","26LL260323I","RSV",0.146135539,2.922710896,17216,2,17214,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"B06","26LL260323I","SC2",0,0,17216,0,17216,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C01","23MM260312I","FLUA",0,0,16839,0,16839,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C01","23MM260312I","FLUB",0,0,16839,0,16839,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C01","23MM260312I","RSV",0,0,16839,0,16839,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C01","23MM260312I","SC2",0.448275715,8.965514183,16839,6,16833,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C02","23MM260314I","FLUA",0,0,17892,0,17892,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C02","23MM260314I","FLUB",0,0,17892,0,17892,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C02","23MM260314I","RSV",0,0,17892,0,17892,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C02","23MM260314I","SC2",0.070304982,1.406099677,17892,1,17891,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C03","23MM260315I","FLUA",0.072908945,1.458178878,17253,1,17252,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C03","23MM260315I","FLUB",0,0,17253,0,17253,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C03","23MM260315I","RSV",0,0,17253,0,17253,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C03","23MM260315I","SC2",0,0,17253,0,17253,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C04","26JJ260322I","FLUA",0,0,16245,0,16245,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C04","26JJ260322I","FLUB",0,0,16245,0,16245,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C04","26JJ260322I","RSV",0.077433072,1.54866147,16245,1,16244,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C04","26JJ260322I","SC2",0.077433072,1.54866147,16245,1,16244,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C05","26LL260318I","FLUA",0,0,16709,0,16709,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C05","26LL260318I","FLUB",0,0,16709,0,16709,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C05","26LL260318I","RSV",0.301157981,6.023159504,16709,4,16705,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C05","26LL260318I","SC2",0.150569975,3.011399508,16709,2,16707,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C06","26LL260323I","FLUA",0,0,16750,0,16750,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C06","26LL260323I","FLUB",0,0,16750,0,16750,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C06","26LL260323I","RSV",0.225308821,4.506176472,16750,3,16747,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"C06","26LL260323I","SC2",0.075098455,1.501969099,16750,1,16749,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D01","26BB260317I","FLUA",0,0,16201,0,16201,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D01","26BB260317I","FLUB",0.155291557,3.105831146,16201,2,16199,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D01","26BB260317I","RSV",0.07764338,1.552867651,16201,1,16200,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D01","26BB260317I","SC2",0.388264865,7.765297413,16201,5,16196,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D02","26BB260317I","FLUA",0.070577174,1.411543489,17823,1,17822,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D02","26BB260317I","FLUB",0,0,17823,0,17823,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D02","26BB260317I","RSV",0.070577174,1.411543489,17823,1,17822,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D02","26BB260317I","SC2",0.141158298,2.823165894,17823,2,17821,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D03","26BB260317I","FLUA",0.073316909,1.466338158,17157,1,17156,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D03","26BB260317I","FLUB",0,0,17157,0,17157,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D03","26BB260317I","RSV",0.366627306,7.332546234,17157,5,17152,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D03","26BB260317I","SC2",0.439965606,8.799312592,17157,6,17151,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D04","26HH260316I","FLUA",0.070171632,1.403432608,17926,1,17925,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D04","26HH260316I","FLUB",0.070171632,1.403432608,17926,1,17925,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D04","26HH260316I","RSV",0,0,17926,0,17926,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D04","26HH260316I","SC2",1.193450451,23.86900902,17926,17,17909,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D05","26HH260316I","FLUA",0,0,16288,0,16288,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D05","26HH260316I","FLUB",0,0,16288,0,16288,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D05","26HH260316I","RSV",0.231700167,4.634003162,16288,3,16285,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D05","26HH260316I","SC2",0.617962003,12.35923958,16288,8,16280,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D06","26HH260316I","FLUA",0.154471517,3.089430332,16287,2,16285,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D06","26HH260316I","FLUB",0,0,16287,0,16287,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D06","26HH260316I","RSV",0,0,16287,0,16287,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"D06","26HH260316I","SC2",1.390927196,27.81854439,16287,18,16269,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E01","26BB260322I","FLUA",0.07627333,1.525466561,16492,1,16491,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E01","26BB260322I","FLUB",0,0,16492,0,16492,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E01","26BB260322I","RSV",0.07627333,1.525466561,16492,1,16491,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E01","26BB260322I","SC2",0.07627333,1.525466561,16492,1,16491,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E02","26BB260322I","FLUA",0,0,17731,0,17731,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E02","26BB260322I","FLUB",0,0,17731,0,17731,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E02","26BB260322I","RSV",0,0,17731,0,17731,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E02","26BB260322I","SC2",0.070943378,1.418867588,17731,1,17730,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E03","26BB260322I","FLUA",0,0,17784,0,17784,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E03","26BB260322I","FLUB",0.070731945,1.414638877,17784,1,17783,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E03","26BB260322I","RSV",0.212207779,4.244155407,17784,3,17781,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E03","26BB260322I","SC2",0.141467884,2.829357624,17784,2,17782,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E04","26HH260322I","FLUA",0,0,17925,0,17925,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E04","26HH260322I","FLUB",0,0,17925,0,17925,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E04","26HH260322I","RSV",0,0,17925,0,17925,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E04","26HH260322I","SC2",0.070175551,1.403511047,17925,1,17924,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E05","26HH260322I","FLUA",0,0,16374,0,16374,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E05","26HH260322I","FLUB",0.076823011,1.536460161,16374,1,16373,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E05","26HH260322I","RSV",0.076823011,1.536460161,16374,1,16373,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E05","26HH260322I","SC2",0.230483115,4.609662056,16374,3,16371,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E06","26HH260322I","FLUA",0,0,17033,0,17033,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E06","26HH260322I","FLUB",0,0,17033,0,17033,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E06","26HH260322I","RSV",0.147705689,2.954113722,17033,2,17031,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"E06","26HH260322I","SC2",0.073850676,1.477013588,17033,1,17032,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F01","26CC260317I","FLUA",0.157794848,3.155896902,15944,2,15942,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F01","26CC260317I","FLUB",0,0,15944,0,15944,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F01","26CC260317I","RSV",0,0,15944,0,15944,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F01","26CC260317I","SC2",0.078894943,1.57789886,15944,1,15943,11,"NOT A CONTROL",0,0,0,0,,,,,0,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
"F02","26CC260317I","FLUA",0.073150627,1.463012576,17196,1,17195,11,"NOT A CONTROL",0,0,0,0,,,,,1,0,0,"03.25.26_GT_fiveplex1_QX600.csv"
